YYYY,MM,DD,h,1_Record_Chugoku_to_Kyushu,2_Record_Chugoku_to_Shikoku,3_Record_Kansai_to_Chugoku,4_Record_Kansai_to_Shikoku,5_Record_Hokuriku_to_Kansai,6_Record_Chubu_to_Hokuriku,7_Record_Chubu_to_Kansai,8_Record_Tokyo_to_Chubu,9_Record_Tohoku_to_Tokyo,10_Record_Hokkaido_to_Tohoku,1_Plan_Chugoku_to_Kyushu,2_Plan_Chugoku_to_Shikoku,3_Plan_Kansai_to_Chugoku,4_Plan_Kansai_to_Shikoku,5_Plan_Hokuriku_to_Kansai,6_Plan_Chubu_to_Hokuriku,7_Plan_Chubu_to_Kansai,8_Plan_Tokyo_to_Chubu,9_Plan_Tohoku_to_Tokyo,10_Plan_Hokkaido_to_Tohoku
2024,4,1,11,-338.66667,-817.5,-109.33333,-695,-382.66667,-295.33333,-1940.6667,-417.16667,641.66667,-199.6667,-356.3,-822.3,-58.446,-700,-382.9,-300,-2000,-430.9,877.2,-168.6
2024,4,1,12,-337.33333,-865.5,40,-693.3333,-389.33333,-297.83333,-1927.3333,-407.16667,790,-127.6667,-326.9,-864,210.667,-700,-378.3,-300,-2000,-340.8,1009.3,-132.7
2024,4,1,13,-379.33333,-838,94.666667,-693.3333,-338,-298,-1914,-246,1388.3333,-4,-255.5,-882.8,271.532,-700,-310.4,-300,-2000,-207.4,1733.8,-87.4
2024,4,1,14,-403.33333,-750,-185.33333,-692.6667,-280.66667,-295.5,-1922,-322.83333,1753.3333,202.5,-296.1,-815.3,-4.781,-700,-283.2,-300,-1994.1,-437.6,1803.2,-16.9
2024,4,1,15,-582.66667,-705.5,-732,-692.5,-317.33333,-298,-2007.3333,-210,2413.3333,268.5,-492.2,-701.8,-326.244,-700,-306.5,-300,-2000,-202.8,2501.4,112
2024,4,1,16,-826.66667,-895.5,-1825.6667,-694.8333,-294.66667,-294.33333,-1980.6667,-569.83333,2823.3333,389,-825.7,-927,-1124.722,-700,-312.8,-300,-2000,-574.2,2867.5,142.1
2024,4,1,17,-1230.6667,-996.33333,-2613,-692.8333,-314.66667,-292.66667,-2428.6667,-872.83333,3185,460.3333,-1203.7,-989.7,-1667.342,-700,-310.1,-300,-2478,-1030,3587,366.7
2024,4,1,18,-1720.6667,-1150,-3485.3333,-693.3333,-401.33333,-290.33333,-2394,-548.5,3628.3333,560,-1756.832,-1146,-2334.398,-700,-358.4,-300,-2472.9,-1030,3825.8,344
2024,4,1,19,-2220.6667,-1348.5,-4140,-692.6667,-533.33333,-299,-2330,-349,3770,375.6667,-2237,-1402.5,-2670.668,-700,-585.7,-300,-2375.3,-900,3200,308.6
2024,4,1,20,-2268.6667,-1253,-4285.3333,-692.8333,-458.66667,-221.33333,-2439.3333,-451.66667,3710,300.1667,-2257,-1269.8,-2733.368,-700,-444.8,-236.1,-2499,-900,3200,286.8
2024,4,1,21,-2316,-1396,-4136,-694.8333,-132,43.5,-2322,-212.33333,3765,343.6667,-2241.2,-1422.7,-2521.056,-700,-159.9,0,-2404.3,-900,3200,348.9
2024,4,1,22,-2308,-1360.5,-4072,-690.6667,-92,0.5,-2063.3333,-803.5,2835,313.3333,-2239.2,-1417.2,-2478.388,-700,-82.8,0,-2164.4,-900,3200,227.8
2024,4,1,23,-2265.3333,-1333.5,-4001.3333,-693.3333,-88,-109.33333,-1858,-838,2890,528.6667,-2231.3,-1414,-2443.32,-700,-86.3,0,-1951.4,-900,3200,369.1
2024,4,1,24,-2306,-1311.5,-4117.3333,-693.1667,-78.666667,44.333333,-2138,-837.83333,3065,588.1667,-2223.8,-1381,-2443.4,-700,-55.6,0,-2199.6,-900,3200,364.9
2024,4,1,25,-1940,-1259,-3734.6667,-693.1667,-162.66667,-41.666667,-2412.6667,-865,2941.6667,362.8333,-2197.1,-1231,-2547.172,-700,-126.4,0,-1695.8,-900,3200,162
2024,4,1,26,-1888,-1158.5,-3258.6667,-693,-209.33333,-32.333333,-2359.3333,-860.33333,2710,222.8333,-2193,-1180.8,-2585.628,-700,-89.4,0,-1651.5,-900,3200,115.9
2024,4,1,27,-1925.3333,-1119,-3340,-694.6667,-368,-126.33333,-2279.3333,-873.5,2406.6667,126.6667,-2215.8,-1367.5,-2459.336,-700,-67.6,0,-2141.8,-900,3200,86.4
2024,4,1,28,-2061.3333,-1093.5,-3657.3333,-693.3333,-310.66667,-134.5,-2354,-839.5,2975,61,-2225.2,-1420.4,-2455.858,-700,-243.1,-122.1,-2392.6,-900,3200,37.6
2024,4,1,29,-2245.3333,-1119.5,-3877.3333,-690.8333,-481.33333,-200,-2194,-824.66667,3248.3333,-30.5,-2234.8,-1441.7,-2483.54,-700,-308.2,-182.9,-2494.972,-1049.972,3200,-9.7
2024,4,1,30,-2225.3333,-1287,-4082.6667,-693.3333,-621.33333,-297.83333,-2444.6667,-1040.3333,3411.6667,-6.166667,-2243.7,-1448.9,-2531.256,-700,-462,-300,-2500,-1050,3200,73.7
2024,4,1,31,-2212.6667,-1198,-3945.3333,-693.1667,-717.33333,-296.5,-2351.3333,-857.5,3135,114.5,-2246.2,-1449.5,-2606.812,-700,-438,-300,-2500,-1040,3200,319.6
2024,4,1,32,-2074.6667,-1281.5,-3692,-692.8333,-641.33333,-290.5,-2063.3333,-855,2965,161.8333,-2096.8,-1450,-2437.86,-700,-388.2,-300,-2442.5,-996.6,3186.5,341.7
2024,4,1,33,-1432,-1121.5,-2448,-693,-537.33333,-292,-2199.3333,-826.33333,2465,215.5,-1491.192,-1200,-1685.554,-700,-411.8,-300,-2500,-991.2,3035,318.4
2024,4,1,34,-1616.6667,-1011.6667,-2406.6667,-695,-652,-283.33333,-2372.6667,-412.16667,2085,-20.5,-1772.3,-1200,-1840.072,-700,-462.2,-300,-2500,-480.8,3049.1,240.9
2024,4,1,35,-788,-1093,-1676,-692.8333,-176,1,-2020.6667,-36.166667,2278.3333,-192.6667,-1066.5,-1200,-1285.156,-700,-11.1,0,-2066.9,242.7,2948,9.1
2024,4,1,36,-822.66667,-1208,-1879,-696,-181.33333,1,-1799.3333,179.33333,2411.6667,-292.1667,-1208.2,-1200,-1531.4,-700,-33.5,0,-2024.3,219.8,2737.2,-69.4
2024,4,1,37,-437.33333,-1024.1667,-677.33333,-693.3333,-92,1,-731,779.66667,2863.3333,-289.6667,-393.3,-1156,-531.516,-700,96.7,0,-1400.7,535.5,2938,-23.1
2024,4,1,38,-450.66667,-1026.6667,-606.66667,-693,-18,1,-1220,230.5,3018.3333,-168.6667,-399.5,-1156,-231.019,-700,181.9,0,-1262,669.9,2996.1,-103.8
2024,4,1,39,-657.33333,-1021.3333,-794.66667,-694.8333,-56.666667,1,-1476.3333,387.16667,3095,-61.5,-360.4,-1156,-215.142,-700,116.7,0,-1415.2,831,3112.6,-90.2
2024,4,1,40,-729.33333,-1013.3333,-1032,-692.6667,-155.33333,1,-1564.6667,395,3140,-148.3333,-330.1,-1156,-224.49,-700,-16.5,0,-1491.8,772.1,3200,-67.8
2024,4,1,41,-438,-1089,-937.33333,-693.8333,-208,1,-1591.3333,382.5,2426.6667,-169,-253.6,-1156,-407.499,-700,-76.4,0,-1738.8,518.6,2795,-140.5
2024,4,1,42,-499.33333,-917,-1124,-692.6667,-246.66667,1,-2063.3333,249.16667,2480,-111,-336.6,-1057.1,-526.817,-700,-132.2,0,-2098.6,542.4,2915.9,-125.5
2024,4,1,43,-618.66667,-914,-1005.3333,-693,-274.66667,1,-2122,198.5,2520,-118,-331.7,-1011.9,-541.175,-700,-110.3,0,-2448.6,13.2,2705.6,-127.9
2024,4,1,44,-538,-906.5,-661.33333,-694.3333,-285.33333,1,-2148.6667,205.66667,2461.6667,-25.5,-323.5,-995.3,-352.831,-700,-186.1,0,-2500,-55.8,2312.8,-144.7
2024,4,1,45,-403.33333,-656.5,-380,-693,-605.33333,-294,-1479.3333,326.83333,2778.3333,17.16667,-282.8,-859.7,-91.202,-700,-500.1,-300,-2000,-37.9,2787.9,-180.6
2024,4,1,46,-492.66667,-729.5,-566.66667,-693.1667,-573.33333,-299.33333,-1927.3333,-508.66667,2428.3333,33.66667,-335.7,-751.7,-77.265,-700,-521.9,-300,-2000,-423.3,2235.6,-151.4
2024,4,1,47,-371.33333,-614,-202.66667,-693.5,-512,-298.16667,-1748.6667,-394.83333,2510,-102.8333,-228.4,-678.1,-31.308,-700,-475,-300,-2000,-366.1,2588,-158.8
2024,4,1,48,-167.33333,-671,-76,-692.5,-501.33333,-296.16667,-1887.3333,-712.5,2405,12.5,-73.5,-603.4,346.858,-700,-474.9,-300,-2000,-546,2453.4,-133.6
2024,4,2,1,-271.33333,-386,-17.333333,-695.5,-554,-298.33333,-2012.6667,-111.16667,2568.3333,-31.83333,-10,-356.8,589.227,-700,-511.7,-300,-2000,-131.9,2380.2,-170.8
2024,4,2,2,-270,-510,-224,-692.8333,-566.66667,-298.83333,-1948.6667,94.5,2861.6667,-5.666667,-84.1,-491.9,308.622,-700,-485.1,-300,-2000,166.1,2587.6,-133.4
2024,4,2,3,-325.33333,-555.5,-201.33333,-692.8333,-552,-299.16667,-1938,265.16667,2618.3333,-74.66667,-113.7,-539.6,162.823,-700,-546.4,-300,-2000,291.5,2454.9,-117.5
2024,4,2,4,-692.66667,-575,-522.66667,-692.8333,-612.66667,-298.5,-1954,404,2561.6667,-77.83333,-423.9,-599.7,-97.168,-700,-578,-300,-2000,508.3,2330.2,-173.2
2024,4,2,5,-744,-482.5,-440,-692.1667,-547.33333,-298.83333,-1996.6667,472.33333,2550,-85.83333,-608.5,-492.7,-193.488,-700,-553.1,-300,-2000,667.6,2349.6,-142.8
2024,4,2,6,-922,-441.5,-580,-694.8333,-528,-248,-1900.6667,1186.1667,2470,-137.3333,-611.7,-484.7,-217.87,-700,-350.3,-87.6,-1987.5,983.4,2299.4,-130.2
2024,4,2,7,-852,-471.5,-492,-692.6667,-287.33333,-4.833333,-1756.6667,1219.5,2598.3333,-173.6667,-658,-470.7,-131.876,-700,-350.2,0,-1568.8,931.8,2438.8,-131.5
2024,4,2,8,-952,-481.5,-356,-692.5,-288,1,-1474,1375.8333,2731.6667,-137,-616.4,-464.5,2.916,-700,-362.9,0,-1328.3,1238.7,2658.8,-118.6
2024,4,2,9,-879.33333,-524,-204,-692.6667,-300,1,-1255.3333,1487.1667,2871.6667,9.333333,-640.4,-544.3,136.038,-700,-361.1,0,-1128.7,1250.5,2667.1,-118.9
2024,4,2,10,-832.66667,-442,-28,-693.1667,-356.66667,1,-1015,1492.6667,2796.6667,21.33333,-619.3,-489,274.423,-700,-368.3,0,-1040.9,1274.5,2633.2,-124.7
2024,4,2,11,-830.66667,-588,-377.33333,-694.8333,-415.33333,1,-688,1498.8333,2856.6667,-40.5,-643.5,-656.6,10.667,-700,-351,0,-678.8,1367.5,2929.4,-103.4
2024,4,2,12,-693.33333,-663,-200,-693,-359.33333,1,-682.66667,1490.5,3140,152.8333,-571.3,-736.3,-52.252,-700,-311.6,0,-1014.7,1000,2897.7,-63.8
2024,4,2,13,-749.33333,-776.5,-680,-692.6667,-326,1,-1073.6667,1494.5,3270,173.5,-470.8,-806,-130.072,-700,-200.9,0,-1042.2,1068.6,3282.6,-105
2024,4,2,14,-833.33333,-878,-1021.3333,-692.3333,-425.33333,1,-864,1493.3333,3203.3333,204.6667,-557.8,-824,-352.245,-700,-354.4,0,-723.1,1151.3,3372.8,-61.5
2024,4,2,15,-940,-704,-1160,-692.8333,-394.66667,1,-1535.3333,1467.3333,3525,221,-648.1,-667.4,-665.856,-700,-354.5,0,-1346.9,626.4,3341.1,-45.2
2024,4,2,16,-892,-639.5,-1494.6667,-694.6667,-668,-293.66667,-1932.6667,1333.5,3480,257.8333,-764.2,-650,-1103.22,-700,-629.8,-289.9,-1999.8,-789.2,3534.6,-28.3
2024,4,2,17,-1252,-471,-2132.6667,-692.8333,-582.66667,-277.16667,-2452.6667,822.5,3220,86.5,-870,-398.8,-1520.678,-700,-343.9,0,-2250,-799.4,3200,-67
2024,4,2,18,-1237.3333,-579,-2516,-693,-330.66667,1,-2266,1384.5,3198.3333,70.16667,-1156.3,-596.8,-2006.94,-700,-359.1,0,-2378.4,-941.7,3200,90.5
2024,4,2,19,-1388.6667,-644,-2730.6667,-695.5,-348,-33.833333,-2087.3333,1285.8333,3175,-161.1667,-1318.8,-880.5,-2066.946,-700,-389.2,-32,-2500,-892.1,3200,-150
2024,4,2,20,-1507.3333,-696.5,-3100,-693,-630.66667,-296.83333,-1999.3333,870,3243.3333,-230.3333,-1561.4,-1029.8,-2403.212,-700,-627.9,-300,-2500,-794.3,3200,-213.2
2024,4,2,21,-1824.6667,-889,-3650.6667,-690.6667,-638.66667,-294.16667,-2212.6667,-175.66667,3211.6667,-369.8333,-1876.1,-1220.6,-2732.914,-700,-546.6,-300,-2500,-833.9,3200,-377
2024,4,2,22,-1566.6667,-935.33333,-3530.6667,-693.1667,-616,-290.66667,-1972.6667,95.833333,3241.6667,-335.3333,-1643,-1394.9,-2534.86,-700,-519.4,-300,-2500,-794.1,3200,-389
2024,4,2,23,-1734.6667,-981.16667,-3686.6667,-692.8333,-560.66667,-290.33333,-2071.3333,-793.83333,3193.3333,-243.6667,-1836.5,-1432.3,-2631.3,-700,-473.9,-300,-2500,-779.3,3200,-393.6
2024,4,2,24,-2020,-917.5,-3880,-693.8333,-596,-290.5,-2151.3333,-865,3136.6667,-157.1667,-2054.7,-1233.4,-2750.986,-700,-559.6,-300,-2500,-799.7,3200,-198
2024,4,2,25,-1966.6667,-691,-3892,-692.6667,-738,-296.16667,-2356.6667,-844.66667,3206.6667,55,-2025.3,-1187.9,-2741.452,-700,-462.3,-299.3,-2323.7,-881.4,3200,0.1
2024,4,2,26,-1891.3333,-603.5,-3657.3333,-693.3333,-644,-294.16667,-2039.3333,-873.66667,3193.3333,246.5,-1893.2,-1245.2,-2686.132,-700,-462.5,-300,-2394.1,-900,3200,27.3
2024,4,2,27,-1772.6667,-574.5,-3374.6667,-692.6667,-572,-296,-2218,-854.33333,3143.3333,239.3333,-1841.5,-1356.7,-2635.216,-700,-502.3,-300,-2500,-820.6,3200,43.1
2024,4,2,28,-435.33333,-687.5,-2149.6667,-693,-472.66667,-290.66667,-1804.6667,-475.83333,3031.6667,219.1667,-1553.4,-1450,-2289.09,-700,-419.3,-300,-2496.2,-769.2,3200,23.2
2024,4,2,29,3.333333,-778.5,-1854.3333,-692.6667,-538.66667,-290.33333,-1233.6667,664.33333,2900,261.8333,-1182.9,-1367.7,-1860.412,-700,-395,-300,-2500,-804.8,3200,10.4
2024,4,2,30,-569.33333,-886.5,-2441,-692.1667,-602.66667,-290.16667,-1842,135.33333,2688.3333,259.1667,-1001.6,-1190,-1489.888,-700,-462.2,-300,-2500,-758.6,3200,-22.5
2024,4,2,31,-755.33333,-879.66667,-2549.3333,-694.8333,-581.33333,-296.16667,-2007.3333,-895.66667,2413.3333,243.3333,-1042.798,-1076.6,-1610.498,-700,-493.098,-299.998,-2500,-930.398,3200,64
2024,4,2,32,-541.33333,-1151.5,-2401.6667,-693.1667,-638,-286,-1887.3333,-300.16667,2285,181.5,-922.574,-1108.9,-1342.46,-700,-493.474,-299.944,-2500,-713.844,3200,43.8
2024,4,2,33,-501.33333,-1041.8333,-2003.6667,-693.1667,-476.66667,-212.83333,-1916.6667,585,2723.3333,110.6667,-685,-1176,-1037.348,-700,-487.4,-226.5,-2493.8,-1010,3060.1,22.6
2024,4,2,34,-540,-1169,-2062.6667,-695.6667,-393.33333,-84.833333,-2215.3333,39.166667,2626.6667,46.33333,-643.7,-1200,-948.424,-700,-317,0,-2092.6,-523.5,2529.2,-51.6
2024,4,2,35,-171.33333,-1165,-1199.3333,-697,-256,1,-1356.6667,103.5,2728.3333,158.3333,-517,-1200,-685.466,-700,-300.8,0,-1411.4,108.9,2733.8,-94.3
2024,4,2,36,-456.66667,-1074.5,-854.66667,-692.8333,-264,1,-362.66667,1362.3333,2153.3333,-65.83333,-609.2,-1200,-635.791,-700,-311.4,0,-1003.2,362.9,2353.5,-198.9
2024,4,2,37,-596.66667,-1041.1667,-905.33333,-693.1667,-176.66667,1,-699,1052.5,2153.3333,-113.3333,-520.8,-1156,-590.909,-700,-170.1,0,-992.8,415.3,2191.3,-267.6
2024,4,2,38,-728.66667,-1028.3333,-933.33333,-692.8333,-105.33333,1,-965.66667,1030,2115,-48.66667,-533.5,-1156,-603.429,-700,-149.1,0,-1144,348.9,2197.2,-247.4
2024,4,2,39,-729.33333,-1069,-805.33333,-692.8333,-232,1,-688,1247,2243.3333,-110.6667,-562.1,-1156,-543.585,-700,-110.7,0,-1233.7,395.6,2167,-275.7
2024,4,2,40,-746.66667,-1076.1667,-1071,-694.1667,-189.33333,1,-1191,729.5,2283.3333,-145.3333,-525.5,-1155.3,-553.162,-700,-79.8,0,-1551.2,203.6,2194.1,-263.7
2024,4,2,41,-924.66667,-1024.6667,-1278.8333,-693.1667,-196,1,-1714,337.66667,2355,-116.8333,-600.6,-1136.7,-719.174,-700,-111.6,0,-1921,-132.7,2197.8,-237.4
2024,4,2,42,-913.33333,-959.5,-1352,-693,-342.66667,1,-1815.3333,336.5,2386.6667,-67.16667,-537.9,-1107.1,-739.865,-700,-253.7,0,-2082.3,-50.5,2349.5,-195.9
2024,4,2,43,-962,-1031.6667,-1468,-692.3333,-316,1,-1735.3333,442.83333,2441.6667,-14.33333,-600.2,-1176,-755.387,-700,-193.2,0,-1942.9,-21.5,2255.2,-246.3
2024,4,2,44,-973.33333,-1087,-1613.3333,-693,-253.33333,1,-2228.6667,369.83333,2468.3333,-33.5,-640.9,-1176,-915.39,-700,-169.2,0,-2255.5,-136.4,2465.8,-247.9
2024,4,2,45,-1012,-981.5,-1594.6667,-695,-637.33333,-290.5,-1810,155.16667,2336.6667,-96.66667,-643.9,-1087.1,-989.504,-700,-564.9,-300,-2000,-491.4,2466,-230
2024,4,2,46,-624.66667,-782.5,-1074.6667,-692.6667,-552,-293.33333,-1898,-506.66667,1813.3333,-59.16667,-425.9,-1015.4,-754.167,-700,-622.1,-300,-2000,-559.4,1835.6,-246.3
2024,4,2,47,-484,-649.5,-741.33333,-692.3333,-670,-298,-1959.3333,-327.66667,1476.6667,-29.16667,-332,-748.6,-576.251,-700,-658.9,-300,-2000,-531.1,1590.7,-248.3
2024,4,2,48,-238,-483,-262.66667,-693,-688,-297.66667,-1799.3333,174.33333,1690,-44.66667,131,-491.8,48.72,-700,-647.4,-300,-2000,-267,1654.3,-252.2
2024,4,3,1,-144.66667,-275,50.666667,-692.5,-466.66667,-297.66667,-1948.6667,-507.83333,1341.6667,-32.83333,-152.7,-277.8,35.499,-700,-452.2,-300,-2000,-675.7,1259.2,-288.4
2024,4,3,2,-424,-337.5,-185.33333,-694.1667,-354.66667,-297.16667,-1890,-434.16667,1596.6667,82.83333,-222.6,-346,15.329,-700,-377.5,-300,-2000,-245.9,1330.8,-265.7
2024,4,3,3,-406,-323.5,-320,-692.8333,-381.33333,-299,-2004.6667,-456.33333,1506.6667,-8.166667,-223.3,-369.1,-35.973,-700,-363.7,-300,-2000,-27.3,1261.3,-255.9
2024,4,3,4,-263.33333,-372.5,-234.66667,-692.1667,-366.66667,-298.83333,-1980.6667,-456.83333,1138.3333,-74.16667,-239.2,-388.7,-37.073,-700,-450.5,-300,-2000,-157.2,868.2,-246.9
2024,4,3,5,-464.66667,-369.5,-317.33333,-692.6667,-421.33333,-299,-1911.3333,-142.33333,1096.6667,-58.5,-172.6,-434.4,-113.774,-700,-454.2,-300,-2000,32.7,686.6,-257.4
2024,4,3,6,-389.33333,-370,-196,-692.3333,-436,-297.16667,-1895.3333,3.166667,943.33333,-59.5,-179.5,-436.1,34.155,-700,-541.1,-300,-2000,20,703.1,-264.9
2024,4,3,7,-407.33333,-420.5,-68,-694.6667,-458.66667,-296,-1650,49.333333,906.66667,-69.83333,-481.3,-446.6,-63.559,-700,-492.8,-300,-2000,19.7,696.7,-237.8
2024,4,3,8,-629.33333,-405.5,-170.66667,-692.8333,-482.66667,-294.5,-1482,89.5,651.66667,-57.33333,-553.5,-487.4,-252.667,-700,-493.3,-300,-1999.9,-130,384.9,-240.2
2024,4,3,9,-730,-505,-276,-692.5,-490.66667,-294.33333,-1575.3333,-149.33333,560,-193.3333,-537.7,-595.9,-205.693,-700,-491.5,-299.6,-2000,-211.7,574.9,-188.1
2024,4,3,10,-600.66667,-434,-110.66667,-692.8333,-509.33333,-284.66667,-1767.3333,-357.16667,490,-256.6667,-494.7,-595.5,3.675,-700,-489.6,-300,-2000,-439.4,394.6,-191.4
2024,4,3,11,-703.33333,-466,-148,-692.6667,-294,1,-1100,484.83333,696.66667,-268.1667,-508.2,-670.7,-142.465,-700,-213.6,0,-1520.9,35,678.4,-302.5
2024,4,3,12,-519.33333,-659.5,-346.66667,-695,-557.33333,-294.83333,-1767.3333,-726.66667,678.33333,-121.8333,-454.6,-672.6,-169.587,-700,-436.2,-300,-1999.4,-914.3,543.1,-286.4
2024,4,3,13,-582,-635,-253.33333,-693,-492,-291,-1884.6667,-834.5,1115,-4,-406.7,-576.1,29.525,-700,-362,-300,-2000,-870.5,720.9,-289.7
2024,4,3,14,-404,-770.5,-425.33333,-692.5,-442.66667,-176.83333,-1762,-401.5,1778.3333,92,-359.3,-713.5,-216.397,-700,-332.7,-189.1,-1999.3,-401.6,1250.7,-179.6
2024,4,3,15,-368.66667,-769,-356,-692.5,-258.66667,1,-1570,168.33333,2356.6667,229.6667,-372.2,-779.7,-311.106,-700,-132.2,0,-2000,212.6,1841.1,-32.7
2024,4,3,16,-691.33333,-627,-360,-693.1667,-280,1,-1183,1017.1667,3143.3333,370.5,-386.6,-653.8,-54.28,-700,-141.8,0,-1176,1369.5,2741.7,126.7
2024,4,3,17,-553.33333,-524,-328,-694.1667,-284.66667,1,-910,1445.3333,3173.3333,498.5,-340.8,-671.8,-109.387,-700,-137.2,0,-1052.7,1500,3160.4,277.8
2024,4,3,18,-588.66667,-874,-562.66667,-692.8333,-257.33333,1,-741.33333,1517.6667,3120,491,-627.9,-972.9,-520.058,-700,-169.9,0,-853.7,1500,3200,304.8
2024,4,3,19,-752.66667,-919.5,-553.33333,-692.6667,-352,1,-1324,1455.5,2966.6667,305.3333,-743.5,-1048.6,-414.324,-700,-253.6,0,-1000.3,1500,3200,0
2024,4,3,20,-844.66667,-958.66667,-656,-692.8333,-415.33333,1,-800,1117.3333,2793.3333,351.1667,-880.8,-1075.3,-517.393,-700,-299.2,0,-903.1,1500,3200,89.7
2024,4,3,21,-674,-1058.5,-600,-692.8333,-378,1,-1234,239.66667,2360,304.3333,-732.8,-1124.4,-390.114,-700,-274.5,0,-950.9,1473.1,3200,30.8
2024,4,3,22,-1030.6667,-1170,-1221.3333,-696.6667,-384.66667,1,-1564.6667,213.5,2770,318.3333,-969.8,-1158.9,-724.126,-700,-331.6,0,-1229.3,1481.7,3200,55.8
2024,4,3,23,-881.33333,-1179.5,-909.33333,-697,-395.33333,1,-1191.3333,946.33333,2818.3333,309.6667,-1250.7,-1149.2,-950.331,-700,-303.3,0,-1368.6,1444.7,3200,43.1
2024,4,3,24,-1138,-1145.5,-1354.6667,-693.5,-356.66667,1,-1679.3333,877.33333,3010,327.6667,-1486.8,-1104,-1275.418,-700,-312.2,0,-1468.1,1298.7,3200,45
2024,4,3,25,-1019.3333,-1084.5,-1493.3333,-693,-364,1,-1708.6667,730.66667,3113.3333,463.1667,-1395.7,-1200,-1253.538,-700,-297.7,0,-1354.8,898.5,3200,214
2024,4,3,26,-1505.3333,-1037.1667,-1793.3333,-693.1667,-349.33333,1,-1948.6667,941.16667,2870,522.1667,-1636.6,-1200,-1597.848,-700,-350.9,0,-1943,548.6,3200,273.3
2024,4,3,27,-1485.3333,-859.5,-1289.3333,-694.6667,-421.33333,1,-1730,1272.3333,2501.6667,525.5,-1577.2,-1084.9,-1364.336,-700,-436.9,0,-1806.3,685.3,3200,274.5
2024,4,3,28,-1527.3333,-775.5,-937.33333,-692.6667,-358.66667,1,-1516.6667,769,1913.3333,561.5,-1574.3,-1037.8,-1110.29,-700,-353.6,0,-1724.3,632.8,3200,297.8
2024,4,3,29,-1636,-965.66667,-1220,-692.5,-343.33333,1,-1506,719.83333,2406.6667,637.8333,-1471.7,-1200,-961.682,-700,-398,0,-1579.4,469.6,3200,388.4
2024,4,3,30,-1598,-973.66667,-1301.3333,-693.1667,-365.33333,1,-1548.6667,392.83333,2390,611,-1572.5,-1199.7,-982.078,-700,-390.5,0,-1633.7,189.6,3200,392
2024,4,3,31,-1520.6667,-1132,-1240,-692.5,-364,1,-1692.6667,176.5,2546.6667,491.6667,-1500.4,-1200,-818.766,-700,-386.6,0,-1781.4,297.5,3200,295.7
2024,4,3,32,-926,-1123.6667,-836,-695.1667,-340.66667,1,-1228.6667,850,2371.6667,319.5,-978.5,-1185.3,-487.866,-700,-393.1,0,-1364.7,662.8,3200,56.4
